id,message_latency
422,2.489
423,2.35
424,2.512
425,2.3
426,2.351
427,4.106
428,4.198
429,2.421
430,2.068
431,2.233
432,2.0509999999999997
433,1.971
434,2.3489999999999998
435,2.593
436,2.263
437,2.404
438,2.298
439,5.244000000000001
440,2.027
441,2.477
442,2.3930000000000002
443,2.4810000000000003
444,2.629
445,2.408
446,2.3249999999999997
447,2.0439999999999996
448,2.2300000000000004
449,4.4270000000000005
450,2.246
451,2.0149999999999997
452,2.307
453,2.3939999999999997
454,2.121
455,2.0349999999999997
456,4.247
457,2.682
458,6.169
459,1.9980000000000002
460,2.159
461,2.258
462,2.176
463,2.391
464,2.44
465,2.714
466,2.464
467,2.4450000000000003
468,2.3609999999999998
469,2.539
470,2.315
471,2.007
472,2.076
473,2.215
474,2.076
475,2.0170000000000003
476,2.145
477,2.617
478,2.84
479,2.5149999999999997
480,2.271
481,2.5260000000000002
482,2.1189999999999998
483,2.233
484,2.083
485,4.682
486,2.28
487,2.3770000000000002
488,2.908
489,2.441
490,2.065
491,2.391
492,2.4699999999999998
493,2.2520000000000002
494,2.0100000000000002
495,2.062
496,2.2569999999999997
497,2.072
498,2.451
499,2.577
500,2.179
501,2.313
502,2.14
503,1.931
504,2.282
505,2.79
506,2.9459999999999997
507,2.3379999999999996
508,2.331
509,2.091
510,2.578
511,2.427
512,2.355
513,2.013
514,2.686
515,2.5260000000000002
516,2.0860000000000003
517,2.327
518,5.609
519,2.09
520,2.496
521,2.336
522,2.396
523,2.209
524,2.091
525,2.092
526,2.556
527,2.089
528,2.3440000000000003
529,2.401
530,2.46
531,2.404
532,2.483
533,2.415
534,2.5660000000000003
535,2.4610000000000003
536,2.065
537,2.71
538,2.12
539,2.056
540,2.643
541,2.49
542,2.271
543,2.21
544,2.075
545,2.3939999999999997
546,2.3489999999999998
547,2.2659999999999996
548,2.333
549,2.421
550,2.023
551,4.368
552,2.621
553,2.0140000000000002
554,2.6029999999999998
555,2.327
556,2.283
557,4.226999999999999
558,2.476
559,2.518
560,2.113
561,2.127
562,2.0309999999999997
563,2.1580000000000004
564,2.218
565,2.614
566,2.327
567,2.005
568,2.0860000000000003
569,2.262
570,2.427
571,2.2439999999999998
572,1.984
573,2.311
574,2.3379999999999996
575,2.323
576,2.261
577,2.434
578,2.269
579,2.643
580,2.656
581,2.484
582,4.036
583,2.375
584,2.333
585,3.757
586,2.748
587,2.156
588,2.0799999999999996
589,2.155
590,2.0309999999999997
591,2.0820000000000003
592,2.347
593,2.076
594,2.326
595,2.12
596,2.3930000000000002
597,2.027
598,2.11
599,2.052
600,2.1870000000000003
601,2.354
602,2.456
603,2.1310000000000002
604,2.484
605,2.024
606,2.032
607,2.323
608,2.467
609,2.264
610,2.149
611,2.527
612,2.4819999999999998
613,2.326
614,2.341
615,5.431
616,2.398
617,2.162
618,2.799
619,2.2950000000000004
620,2.4699999999999998
621,2.34
622,7.819
623,1.996
624,2.312
625,2.029
626,2.318
627,2.059
628,2.1
629,2.0730000000000004
630,2.242
631,2.092
632,2.8249999999999997
633,2.09
634,2.331
635,2.303
636,2.2680000000000002
637,2.44
638,2.19
639,2.1510000000000002
640,2.541
641,2.278
642,1.997
643,2.376
644,2.4520000000000004
645,2.296
646,3.69
647,3.689
648,2.382
649,2.128
650,2.045
651,2.662
652,2.317
653,2.137
654,2.4160000000000004
655,1.9849999999999999
656,8.168999999999999
657,2.0799999999999996
658,2.8310000000000004
659,2.523
660,2.155
661,2.184
662,2.215
663,2.262
664,1.9949999999999999
665,2.417
666,2.333
667,2.572
668,2.2430000000000003
669,2.195
670,2.004
671,2.37
672,2.5869999999999997
673,2.104
674,2.626
675,3.476
676,2.444
677,2.4250000000000003
678,2.385
679,2.7279999999999998
680,2.213
681,2.4789999999999996
682,2.0820000000000003
683,2.212
684,2.006
685,2.336
686,2.485
687,2.354
688,4.630999999999999
689,2.57
690,2.388
691,2.352
692,2.937
693,2.621
694,2.139
695,2.4
696,2.108
697,2.3770000000000002
698,2.1879999999999997
699,5.587
700,2.337
701,2.522
702,2.043
703,2.61
704,3.372
705,4.229
706,2.408
707,3.6029999999999998
708,2.421
709,2.115
710,2.026
711,2.402
712,2.525
713,2.5730000000000004
714,2.112
715,2.307
716,2.11
717,2.305
718,2.846
719,2.4450000000000003
720,2.1069999999999998
721,2.124
722,2.065
723,2.541
724,2.378
725,2.297
726,2.0799999999999996
727,2.162
728,2.641
729,2.092
730,2.036
731,2.649
732,2.464
733,2.384
734,2.211
735,4.123
736,2.4139999999999997
737,2.541
738,2.22
739,2.784
740,2.3
741,2.321
742,2.2039999999999997
743,2.685
744,2.178
745,2.034
746,2.291
